"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1990","1990",128.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1991","1991",128.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1992","1992",131.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1993","1993",129.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1994","1994",127.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1995","1995",125.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1996","1996",124.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1997","1997",127.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1998","1998",124.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1999","1999",130.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2000","2000",130,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2001","2001",134.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2002","2002",131.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2003","2003",131,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2004","2004",134,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2005","2005",137.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2006","2006",143.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2007","2007",143.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2008","2008",141,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2009","2009",143.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2010","2010",151.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2011","2011",155.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2012","2012",156.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2013","2013",152.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2014","2014",158.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2015","2015",159.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2016","2016",160.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2017","2017",159,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2018","2018",160.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2019","2019",159.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1990","1990",156.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1991","1991",159.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1992","1992",161.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1993","1993",159.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1994","1994",158.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1995","1995",152.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1996","1996",155.9,,
