"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1993","1993",9.1,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1994","1994",7.3,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1995","1995",10.8,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1996","1996",13.1,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1997","1997",14.7,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1998","1998",12.1,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","1999","1999",12.9,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2000","2000",8.5,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2001","2001",8.4,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2002","2002",7.2,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2003","2003",7.3,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2004","2004",6.8,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2005","2005",6.6,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2006","2006",7.2,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2007","2007",6.7,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2008","2008",6.7,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2009","2009",7,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2010","2010",7,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2011","2011",7.1,,
"DUREA502","Mental and behavioural disorders due to alcohol","JOUPERNB","Days","AUS","Australia","2012","2012",7.2,,
